Requested File,Lifetime
10,30
35,2
12,30
39,30
4,30
12,30
16,2
14,2
11,30
15,2
1,30
40,30
2,30
35,2
14,2
13,30
26,5
35,2
17,2
14,2
32,2
10,30
13,30
1,30
8,2
24,7
4,30
17,2
16,2
14,2
1,30
35,2
37,30
10,30
16,2
13,30
1,30
10,30
13,30
37,30
9,10
13,30
8,2
37,30
1,30
15,2
5,2
17,2
12,30
24,7
7,2
15,2
2,30
14,2
34,12
36,2
5,2
40,30
10,30
15,2
10,30
14,2
7,2
33,2
13,30
39,30
5,2
14,2
16,2
33,2
16,2
37,30
17,2
39,30
1,30
35,2
13,30
11,30
7,2
10,30
17,2
20,12
1,30
34,12
14,2
36,2
33,2
24,7
25,5
12,30
13,30
21,1
15,2
34,12
34,12
11,30
15,2
10,30
17,2
17,2
19,1
11,30
8,2
36,2
27,1
14,2
17,2
36,2
12,30
14,2
13,30
1,30
18,2
36,2
6,2
15,2
17,2
7,2
7,2
36,2
8,2
36,2
38,30
39,30
14,2
20,12
16,2
11,30
11,30
39,30
1,30
37,30
7,2
34,12
2,30
12,30
17,2
22,3
13,30
8,2
17,2
15,2
17,2
17,2
39,30
13,30
14,2
1,30
6,2
10,30
5,2
14,2
17,2
34,12
4,30
1,30
10,30
1,30
28,6
35,2
15,2
34,12
7,2
33,2
14,2
40,30
6,2
15,2
7,2
10,30
15,2
9,10
17,2
16,2
10,30
16,2
15,2
36,2
11,30
1,30
2,30
15,2
1,30
17,2
8,2
34,12
8,2
37,30
11,30
37,30
8,2
10,30
6,2
40,30
29,11
37,30
22,3
37,30
11,30
15,2
4,30
1,30
13,30
1,30
4,30
35,2
4,30
37,30
10,30
33,2
10,30
17,2
10,30
37,30
2,30
34,12
20,12
1,30
11,30
39,30
6,2
17,2
15,2
17,2
10,30
34,12
11,30
23,10
5,2
13,30
17,2
14,2
1,30
33,2
31,5
17,2
1,30
7,2
22,3
11,30
16,2
1,30
16,2
15,2
1,30
35,2
4,30
17,2
23,10
36,2
13,30
