time_stamp,Requested File,Lifetime
0,31.0,2.0
0,8.0,2.0
1,22.0,12.0
1,4.0,12.0
2,25.0,12.0
3,24.0,2.0
4,13.0,12.0
4,9.0,2.0
5,23.0,2.0
5,24.0,2.0
6,25.0,12.0
7,15.0,5.0
7,2.0,12.0
8,1.0,12.0
8,21.0,2.0
9,31.0,2.0
10,23.0,2.0
12,4.0,12.0
12,9.0,2.0
13,21.0,2.0
14,24.0,2.0
14,5.0,12.0
15,13.0,12.0
15,35.0,12.0
16,25.0,12.0
16,24.0,2.0
17,15.0,5.0
18,29.0,7.0
19,1.0,12.0
20,24.0,2.0
20,24.0,2.0
21,36.0,6.0
22,31.0,2.0
22,8.0,2.0
23,24.0,2.0
24,22.0,12.0
25,24.0,2.0
27,23.0,2.0
27,4.0,12.0
29,24.0,2.0
29,9.0,2.0
30,31.0,2.0
31,25.0,12.0
32,9.0,2.0
32,24.0,2.0
33,12.0,10.0
34,31.0,2.0
34,8.0,2.0
35,12.0,10.0
35,9.0,2.0
36,1.0,12.0
36,21.0,2.0
37,9.0,2.0
39,23.0,2.0
39,24.0,2.0
40,17.0,8.0
40,4.0,12.0
42,9.0,2.0
42,35.0,12.0
43,13.0,12.0
43,9.0,2.0
44,21.0,2.0
45,24.0,2.0
45,21.0,2.0
46,22.0,12.0
48,21.0,2.0
49,2.0,12.0
51,4.0,12.0
52,24.0,2.0
52,21.0,2.0
53,36.0,6.0
53,9.0,2.0
54,23.0,2.0
55,2.0,12.0
55,8.0,2.0
57,31.0,2.0
57,21.0,2.0
58,1.0,12.0
58,24.0,2.0
59,25.0,12.0
61,22.0,12.0
61,9.0,2.0
62,31.0,2.0
62,18.0,9.0
64,21.0,2.0
64,21.0,2.0
65,9.0,2.0
65,25.0,12.0
66,31.0,2.0
66,9.0,2.0
67,6.0,8.0
67,21.0,2.0
68,9.0,2.0
68,8.0,2.0
70,24.0,2.0
70,24.0,2.0
71,9.0,2.0
71,5.0,12.0
72,31.0,2.0
73,26.0,12.0
73,21.0,2.0
74,9.0,2.0
74,24.0,2.0
75,22.0,12.0
76,13.0,12.0
76,18.0,9.0
77,16.0,13.0
77,8.0,2.0
79,9.0,2.0
79,2.0,12.0
80,40.0,5.0
80,21.0,2.0
81,1.0,12.0
81,14.0,6.0
82,24.0,2.0
82,9.0,2.0
83,39.0,10.0
83,40.0,5.0
84,10.0,4.0
85,31.0,2.0
85,8.0,2.0
86,7.0,3.0
86,21.0,2.0
87,22.0,12.0
87,9.0,2.0
88,25.0,12.0
89,32.0,6.0
90,5.0,12.0
91,23.0,2.0
91,9.0,2.0
92,24.0,2.0
92,28.0,11.0
93,17.0,8.0
94,4.0,12.0
95,31.0,2.0
96,22.0,12.0
96,24.0,2.0
97,13.0,12.0
97,21.0,2.0
98,24.0,2.0
98,2.0,12.0
99,35.0,12.0
99,24.0,2.0
100,35.0,12.0
101,23.0,2.0
101,37.0,11.0
102,25.0,12.0
103,9.0,2.0
104,23.0,2.0
104,24.0,2.0
105,1.0,12.0
105,8.0,2.0
106,31.0,2.0
108,24.0,2.0
108,18.0,9.0
109,9.0,2.0
109,24.0,2.0
110,34.0,6.0
110,8.0,2.0
111,31.0,2.0
111,35.0,12.0
112,5.0,12.0
113,13.0,12.0
114,9.0,2.0
115,13.0,12.0
115,21.0,2.0
116,15.0,5.0
118,2.0,12.0
119,22.0,12.0
119,21.0,2.0
120,24.0,2.0
120,4.0,12.0
121,40.0,5.0
123,32.0,6.0
123,24.0,2.0
124,33.0,9.0
124,21.0,2.0
125,31.0,2.0
126,35.0,12.0
127,23.0,2.0
127,24.0,2.0
128,1.0,12.0
129,31.0,2.0
129,21.0,2.0
131,23.0,2.0
132,24.0,2.0
133,31.0,2.0
